user_id,product_id,gender,age,occupation,city_category,stay_in_current_city_years,marital_status,product_category_1,product_category_2,product_category_3,purchase
1000205,P00112542,M,36-45,12,A,1,0,1,11.0,15.0,15735
1000206,P00285842,M,26-35,17,C,1,0,5,,,1961
1000208,P00010742,M,36-45,17,C,1,1,1,8.0,17.0,15372
1000209,P00196742,M,36-45,1,B,4+,0,8,,,7847
1000210,P00063342,F,0-17,10,C,0,0,1,2.0,9.0,3829
1000211,P00332242,M,46-50,17,C,1,1,1,16.0,,19461
1000212,P00025542,M,26-35,16,C,3,0,8,,,3937
1000214,P00334242,M,18-25,20,C,1,0,1,8.0,,11915
1000215,P00351342,M,36-45,14,C,1,1,1,2.0,16.0,15634
1000216,P00152742,M,46-50,13,B,1,0,5,,,8779
1000217,P00334242,M,18-25,4,A,1,0,1,8.0,,15222
1000218,P00295842,M,36-45,14,C,3,1,5,8.0,,1796
1000219,P00351342,F,26-35,4,A,0,0,1,2.0,16.0,12108
1000220,P00366542,M,26-35,12,A,3,0,5,,,7056
1000221,P00326742,F,26-35,0,B,2,1,11,,,5957
1000222,P00114342,M,26-35,1,A,1,0,1,8.0,17.0,15204
1000223,P00145042,M,26-35,17,B,4+,0,1,2.0,5.0,15851
1000225,P00022642,M,26-35,7,A,0,0,5,8.0,,5169
1000227,P00278642,M,36-45,20,B,0,0,5,,,7094
1000228,P00256642,M,26-35,15,A,1,0,5,,,3687
1000229,P00367042,M,18-25,10,C,1,0,8,,,8114
1000230,P00351342,M,46-50,1,C,1,0,1,2.0,16.0,15797
1000231,P00270942,M,26-35,3,A,1,0,1,2.0,15.0,11516
1000232,P00328142,M,26-35,20,A,1,1,8,16.0,,4253
1000233,P00194542,F,46-50,20,C,2,1,8,14.0,,9905
1000234,P00288542,M,36-45,7,C,2,0,8,,,7933
1000235,P00053642,M,26-35,0,B,0,0,7,,,20273
1000236,P00112142,M,26-35,5,B,2,0,1,2.0,14.0,19133
1000237,P00102342,M,26-35,6,C,1,1,8,14.0,17.0,2105
1000238,P00216542,F,51-55,7,B,0,0,8,,,9929
1000239,P00112442,M,18-25,19,A,1,0,6,8.0,,20072
1000240,P00106742,M,51-55,17,A,1,1,3,5.0,,10819
1000242,P00167942,F,18-25,4,A,3,0,1,5.0,,15896
1000243,P00100842,M,26-35,16,C,1,0,5,,,6903
1000244,P00351342,M,51-55,7,B,3,1,1,2.0,16.0,15624
1000245,P00112542,M,36-45,16,B,0,0,1,11.0,15.0,15172
1000246,P00271142,F,18-25,4,C,1,0,5,,,8731
1000249,P00138542,F,18-25,14,C,2,0,5,6.0,,8671
1000250,P00115842,M,36-45,16,C,1,0,16,,,16500
1000251,P00117542,M,55+,17,A,0,1,18,,,3150
1000252,P00338542,M,26-35,12,C,3,0,1,,,15782
1000253,P00043542,F,26-35,11,C,1,0,8,,,5920
1000254,P00113242,M,36-45,17,C,4+,0,1,6.0,8.0,15837
1000255,P00102842,M,36-45,0,C,1,1,8,,,6019
1000256,P00255942,M,46-50,16,C,3,0,1,16.0,,11964
1000257,P00161542,M,18-25,18,A,1,0,2,15.0,16.0,10084
1000258,P00268342,M,26-35,7,C,0,1,5,,,5227
1000259,P00002542,M,26-35,1,B,4+,0,8,14.0,,7923
1000260,P00167942,M,18-25,19,C,1,0,1,5.0,,8335
1000261,P00111842,M,26-35,20,A,4+,0,8,,,9980
1000262,P00025442,F,26-35,1,C,1,0,1,2.0,9.0,18952
1000263,P00221442,F,26-35,7,C,1,0,1,2.0,5.0,15581
1000264,P00115942,M,36-45,0,B,1,1,8,17.0,,5896
1000265,P00135742,F,36-45,7,A,4+,1,6,8.0,,16614
1000266,P00110842,M,36-45,11,C,3,0,1,2.0,5.0,19017
1000267,P00051442,M,46-50,12,C,1,1,8,17.0,,9978
1000268,P00044442,F,18-25,12,C,1,0,1,16.0,,15515
1000269,P00047942,M,26-35,2,A,1,1,5,13.0,,6977
1000270,P00264242,M,51-55,14,B,2,1,8,,,5841
1000271,P00110842,M,18-25,4,C,1,0,1,2.0,5.0,19416
1000272,P00229942,M,18-25,0,A,1,0,5,,,5405
1000273,P00100942,M,18-25,4,B,2,1,5,,,8793
1000274,P00105042,M,18-25,4,A,4+,0,5,9.0,,3549
1000275,P00327342,M,26-35,0,C,3,1,16,,,16133
1000276,P00014942,M,46-50,16,C,4+,0,8,,,6109
1000278,P00125142,M,46-50,18,C,4+,1,11,,,7531
1000279,P00359242,M,26-35,14,C,3,0,1,5.0,17.0,19052
1000280,P00003442,M,51-55,7,C,0,1,4,5.0,8.0,773
1000281,P00220342,F,36-45,0,A,2,0,5,,,5201
1000282,P00147942,M,26-35,17,C,4+,1,1,16.0,,15888
1000284,P00195942,M,26-35,12,B,3,1,3,4.0,,10950
1000285,P00319342,F,36-45,0,A,1,0,5,8.0,,8661
1000287,P00093242,M,51-55,13,B,1,1,8,,,7881
1000289,P00084442,F,26-35,0,C,1,0,13,16.0,,925
1000291,P00115642,M,36-45,12,B,2,0,8,14.0,,7886
1000292,P00332242,M,36-45,7,C,0,1,1,16.0,,15662
1000293,P00155842,M,55+,1,C,1,1,8,,,9800
1000295,P00280442,M,18-25,0,C,4+,0,11,,,7631
1000296,P00269542,M,51-55,5,C,4+,1,11,15.0,,7636
1000297,P00112542,M,18-25,2,C,3,1,1,11.0,15.0,11697
1000298,P00328042,F,18-25,4,C,2,0,8,14.0,,7797
1000299,P00102642,M,26-35,12,C,4+,0,4,8.0,9.0,2744
1000300,P00135342,M,26-35,7,B,4+,1,5,,,1871
1000301,P00035842,M,18-25,4,B,4+,0,5,6.0,9.0,5406
1000302,P00243942,M,18-25,4,B,4+,0,1,2.0,15.0,7751
1000303,P00005742,M,26-35,7,C,1,1,8,14.0,,9764
1000304,P00273342,M,26-35,0,B,1,0,10,,,23139
1000305,P00181542,F,18-25,0,B,3,1,11,16.0,,4616
1000306,P00028842,M,18-25,0,C,3,0,6,8.0,,20656
1000307,P00192942,M,51-55,16,B,0,1,5,,,3761
1000308,P00366442,M,26-35,2,A,3,1,8,12.0,,7923
1000309,P00110942,M,26-35,4,B,1,0,1,2.0,,15773
1000310,P00033442,F,18-25,4,C,1,0,4,,,788
1000311,P00112142,M,18-25,4,C,3,1,1,2.0,14.0,19170
1000312,P00313242,F,51-55,2,B,0,0,8,,,6185
1000313,P00203742,F,18-25,4,A,4+,0,13,16.0,,757
1000314,P00111842,F,55+,9,C,1,0,8,,,10055
1000315,P00326842,F,55+,1,A,3,1,5,8.0,,1810
1000316,P00184942,M,55+,13,C,1,0,1,8.0,17.0,19322
1000318,P00219842,F,55+,13,A,1,1,5,,,7179
1000319,P00110542,F,51-55,6,B,3,1,8,,,9704
1000320,P00338542,M,36-45,6,C,4+,0,1,,,15839
1000321,P00003242,M,18-25,4,B,3,0,8,15.0,,8070
1000322,P00086042,M,55+,17,A,3,1,8,14.0,17.0,9982
1000323,P00034742,M,46-50,12,C,1,0,5,14.0,17.0,8780
1000324,P00312742,M,36-45,17,B,0,1,15,,,4198
1000325,P00157542,F,51-55,3,A,1,0,8,14.0,,10038
1000326,P00051942,M,51-55,11,B,1,1,5,6.0,11.0,3661
1000327,P00307942,M,36-45,18,C,4+,0,6,8.0,,16523
1000328,P00044442,M,36-45,12,C,2,0,1,16.0,,11752
1000329,P00130242,M,36-45,7,A,1,0,8,,,5889
1000330,P00080342,M,55+,7,C,2,0,1,6.0,8.0,19527
1000331,P00214842,M,26-35,7,B,1,0,14,,,14934
1000332,P00005742,M,51-55,1,C,3,1,8,14.0,,9942
1000333,P00117842,M,36-45,2,A,0,1,5,13.0,16.0,8707
1000334,P00025942,F,55+,2,A,3,1,8,14.0,,7932
1000335,P00116842,M,36-45,18,C,0,1,2,5.0,8.0,12745
1000336,P00157542,M,18-25,0,C,4+,0,8,14.0,,6041
1000337,P00128542,M,18-25,19,C,0,0,1,15.0,,7939
1000338,P00125942,M,36-45,7,A,1,0,1,2.0,15.0,15837
1000339,P00126042,M,51-55,7,C,1,1,8,14.0,,9728
1000340,P00190742,F,26-35,3,C,1,1,3,4.0,9.0,5536
1000342,P00010542,M,18-25,12,C,4+,0,2,4.0,5.0,9952
1000343,P00184242,F,36-45,3,B,2,0,9,15.0,,18362
1000344,P00073842,M,36-45,14,C,1,1,1,15.0,17.0,15738
1000345,P00080342,M,26-35,12,A,2,1,1,6.0,8.0,19565
1000346,P00042742,F,26-35,0,B,2,0,5,14.0,,8685
1000347,P00034742,F,55+,1,A,1,0,5,14.0,17.0,6872
1000348,P00337142,M,51-55,7,B,2,1,12,,,347
1000349,P00210542,M,0-17,10,C,0,0,5,,,1991
1000350,P00126142,M,46-50,20,C,3,0,8,16.0,,5934
1000351,P00240142,M,18-25,4,A,4+,0,5,,,2026
1000352,P00278642,M,18-25,4,A,0,0,5,,,8877
1000353,P00110942,F,36-45,7,C,1,1,1,2.0,,15482
1000354,P00084842,M,36-45,1,A,1,0,8,16.0,,9734
1000355,P00028842,M,18-25,3,B,2,0,6,8.0,,16672
1000356,P00326742,M,55+,20,C,0,1,11,,,7550
1000357,P00002042,M,18-25,0,A,4+,0,1,,,4488
1000359,P00183142,M,26-35,17,B,1,0,15,,,13228
1000360,P00294242,M,36-45,17,C,1,0,4,5.0,,2836
1000362,P00114342,M,36-45,20,B,1,0,1,8.0,17.0,15160
1000363,P00274142,M,18-25,10,B,1,1,1,,,15217
1000365,P00220442,F,18-25,4,A,1,0,5,14.0,,7047
1000366,P00117942,M,51-55,15,B,1,1,5,15.0,,8572
1000368,P00333042,M,26-35,0,C,1,0,5,8.0,,6965
1000369,P00299142,M,36-45,1,B,2,0,5,,,8734
1000370,P00247542,M,18-25,17,C,3,0,8,16.0,,5957
1000371,P00034742,M,18-25,4,B,4+,0,5,14.0,17.0,2025
1000372,P00148442,F,18-25,4,C,2,0,2,16.0,,9826
1000374,P00002142,F,36-45,14,C,0,0,1,5.0,8.0,19349
1000375,P00274942,M,26-35,2,B,1,0,8,,,10069
1000376,P00058042,M,36-45,1,C,4+,1,8,16.0,,9939
1000377,P00111142,M,26-35,17,B,2,0,1,15.0,16.0,15590
1000379,P00190042,F,36-45,1,C,4+,0,3,4.0,5.0,13191
1000380,P00112142,M,26-35,2,C,1,0,1,2.0,14.0,15818
1000381,P00346242,M,36-45,17,C,2,0,1,15.0,,15686
1000382,P00147742,F,36-45,20,B,0,1,1,16.0,,11717
1000383,P00265242,F,26-35,7,A,4+,1,5,8.0,,6998
1000384,P00111242,M,26-35,11,B,3,1,1,18.0,,19470
1000385,P00046742,M,26-35,6,C,1,0,1,2.0,15.0,15262
1000386,P00103242,M,26-35,0,A,1,1,8,,,9884
1000387,P00116542,F,36-45,7,C,0,0,5,17.0,,8841
1000388,P00116842,F,26-35,0,B,3,1,2,5.0,8.0,13043
1000389,P00231242,M,26-35,6,C,0,0,16,,,4201
1000390,P00324442,M,26-35,4,A,0,0,11,13.0,16.0,7594
1000391,P00340042,M,46-50,11,C,2,1,5,8.0,,8584
1000392,P00258742,M,18-25,7,A,0,0,5,,,5373
1000393,P00297742,M,36-45,17,C,4+,0,8,17.0,,8101
1000394,P00148842,M,18-25,0,C,1,0,6,8.0,16.0,12656
1000396,P00282442,M,26-35,1,C,1,0,5,8.0,18.0,5328
1000397,P00044442,M,36-45,17,B,2,0,1,16.0,,19484
1000398,P00265242,M,26-35,17,B,3,1,5,8.0,,8646
1000399,P00216342,F,36-45,6,B,1,1,3,4.0,5.0,11078
1000400,P00196542,F,18-25,3,C,2,1,5,8.0,14.0,7040
1000401,P00112542,M,18-25,0,B,3,0,1,11.0,15.0,19226
1000402,P00028842,M,26-35,11,B,1,1,6,8.0,,20315
1000403,P00370242,M,18-25,4,A,2,0,5,,,8583
1000405,P00050342,M,55+,1,C,2,0,5,8.0,17.0,7148
1000406,P00112142,M,26-35,20,A,3,0,1,2.0,14.0,15795
1000408,P00272842,M,26-35,11,A,0,0,5,14.0,,8835
1000409,P00147942,M,18-25,12,B,4+,0,1,16.0,,15348
1000410,P00161942,F,26-35,1,B,4+,0,5,8.0,,7075
1000411,P00102342,F,46-50,1,B,0,1,8,14.0,17.0,9951
1000412,P00300242,M,36-45,15,A,1,1,8,,,6170
1000413,P00001742,M,26-35,11,C,0,0,8,14.0,,9896
1000414,P00085242,M,26-35,0,C,4+,0,8,14.0,17.0,9787
1000415,P00278642,F,36-45,0,A,2,1,5,,,7030
1000416,P00278642,M,46-50,14,C,3,1,5,,,8571
1000417,P00283142,F,26-35,0,C,0,1,13,14.0,16.0,744
1000418,P00057642,F,26-35,3,B,0,1,1,15.0,16.0,11731
1000419,P00350942,M,18-25,3,C,1,0,3,4.0,5.0,13338
1000420,P00121342,M,36-45,1,A,1,0,1,5.0,18.0,15184
1000421,P00186642,F,46-50,3,A,1,1,2,4.0,15.0,13035
1000422,P00105142,M,55+,17,A,4+,0,1,2.0,15.0,11946
1000423,P00250242,M,18-25,4,A,1,0,5,,,5308
1000424,P00246142,M,26-35,17,A,3,0,1,15.0,17.0,15802
1000425,P00223142,M,26-35,12,B,1,1,5,,,8882
1000426,P00071442,M,18-25,4,A,1,1,15,17.0,,20755
1000429,P00330242,M,18-25,0,C,1,0,5,,,3461
1000430,P00120342,F,18-25,10,C,1,1,5,17.0,,7129
1000431,P00059442,M,18-25,10,B,3,0,6,8.0,16.0,16263
1000433,P00144242,M,51-55,6,C,3,1,5,14.0,,6858
1000434,P00288442,F,46-50,3,C,1,0,5,14.0,,3427
1000435,P00305142,M,26-35,7,A,4+,0,1,,,11914
1000436,P00034742,M,18-25,4,C,1,0,5,14.0,17.0,8822
1000437,P00146142,M,36-45,17,C,2,1,1,2.0,15.0,11468
1000438,P00026642,M,18-25,11,A,3,0,8,,,5860
1000439,P00359742,M,36-45,14,B,3,1,1,5.0,,11968
1000442,P00319042,M,26-35,1,A,2,0,5,,,8780
1000443,P00059442,M,26-35,3,A,0,1,6,8.0,16.0,16293
1000444,P00316742,M,55+,0,A,3,0,4,5.0,,2128
1000445,P00059642,M,46-50,12,A,1,1,1,2.0,3.0,12058
1000446,P00178142,F,51-55,0,C,2,0,8,17.0,,9958
1000447,P00085942,F,46-50,11,A,1,0,2,4.0,8.0,15975
1000448,P00274942,M,26-35,17,C,0,0,8,,,10061
1000449,P00199442,M,26-35,7,C,3,0,5,9.0,,7139
1000450,P00084342,M,46-50,1,C,1,1,13,16.0,,760
1000451,P0009942,M,55+,13,C,4+,1,5,,,8810
1000452,P00140742,M,51-55,17,A,3,1,1,15.0,,19707
1000453,P00229742,M,18-25,4,B,1,0,1,16.0,,15443
1000454,P00112142,M,26-35,20,C,2,1,1,2.0,14.0,15637
1000456,P00251242,M,36-45,0,A,0,0,5,11.0,,8880
1000457,P00022742,M,18-25,4,B,2,0,8,,,5993
1000458,P00295742,M,51-55,16,C,1,1,8,,,5931
1000459,P00265242,F,18-25,4,A,3,0,5,8.0,,8770
1000460,P00336942,M,46-50,18,C,2,0,5,,,6947
1000461,P00161942,M,51-55,7,B,0,0,5,8.0,,6972
